"Country","Year","Sector","Site","Station","benthic_name","benthic_code","mean_cover","sd","number_replicates","Reef.zone","level","level1_code","level2_code","Latitude","Longitude","Organization","Period","Source"
"Madagascar",2005,NA,NA,"007_North","Algae-macro/fleshy","AMAC","4.72",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2005,NA,NA,"007_North","Algae-turf","ATRF","27.12",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2005,NA,NA,"007_North","Coral","HC","39.68",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2006,NA,NA,"007_North","Algae-macro/fleshy","AMAC","2.666666667",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2006,NA,NA,"007_North","Algae-turf","ATRF","24",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2006,NA,NA,"007_North","Coral","HC","44.4",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2007,NA,NA,"007_North","Algae-macro/fleshy","AMAC","3.714285714",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2007,NA,NA,"007_North","Algae-turf","ATRF","10.85714286",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2007,NA,NA,"007_North","Coral","HC","58.57142857",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2008,NA,NA,"007_North","Algae-macro/fleshy","AMAC","5.333333333",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2008,NA,NA,"007_North","Algae-turf","ATRF","29.88888889",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2008,NA,NA,"007_North","Coral","HC","48.44444444",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2009,NA,NA,"007_North","Algae-macro/fleshy","AMAC","13.2",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2009,NA,NA,"007_North","Algae-turf","ATRF","4.8",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2009,NA,NA,"007_North","Coral","HC","59.6",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2010,NA,NA,"007_North","Algae-macro/fleshy","AMAC","2.142857143",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2010,NA,NA,"007_North","Algae-turf","ATRF","17.14285714",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2010,NA,NA,"007_North","Coral","HC","67",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2011,NA,NA,"007_North","Algae-macro/fleshy","AMAC","10.16666667",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2011,NA,NA,"007_North","Algae-turf","ATRF","10.33333333",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2011,NA,NA,"007_North","Coral","HC","56",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2012,NA,NA,"007_North","Algae-macro/fleshy","AMAC","3.6",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2012,NA,NA,"007_North","Algae-turf","ATRF","7",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2012,NA,NA,"007_North","Coral","HC","52.4",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2013,NA,NA,"007_North","Algae-macro/fleshy","AMAC","4.571428571",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2013,NA,NA,"007_North","Algae-turf","ATRF","27.42857143",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2013,NA,NA,"007_North","Coral","HC","55.71428571",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2014,NA,NA,"007_North","Algae-macro/fleshy","AMAC","6.923076923",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2014,NA,NA,"007_North","Algae-turf","ATRF","52",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2014,NA,NA,"007_North","Coral","HC","14.15384615",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2015,NA,NA,"007_North","Algae-macro/fleshy","AMAC","27",NA,NA,NA,1,"AMAC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2015,NA,NA,"007_North","Algae-turf","ATRF","33.2",NA,NA,NA,1,"ATRF",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
"Madagascar",2015,NA,NA,"007_North","Coral","HC","19",NA,NA,NA,1,"HC",NA,-22.12369831,43.1969756,NA,"Pre","GCRMN 2015"
