"Country","Year","Sector","Site","Station","Reef.zone","benthic_name2","benthic_code","mean_cover","sd","Organization","Period","Source"
"Comoros",2015,NA,NA,"bimbini","Fore reef","Coral","HC",65,NA,"","Pre","GCRMN"
"Comoros",2011,NA,NA,"bimbini","Back reef","Coral","HC",24,NA,"","Pre","GCRMN"
"Comoros",2007,NA,NA,"bimbini","Back reef","Coral","HC",24,NA,"","Pre","GCRMN"
"Comoros",2005,NA,NA,"bimbini","Back reef","Coral","HC",19,NA,"","Pre","GCRMN"
"Comoros",2004,NA,NA,"bimbini","Back reef","Coral","HC",18,NA,"","Pre","GCRMN"
"Comoros",2003,NA,NA,"bimbini","Back reef","Coral","HC",25,NA,"","Pre","GCRMN"
"Comoros",2011,NA,NA,"itsamia","Back reef","Coral","HC",7,NA,"","Pre","GCRMN"
"Comoros",2009,NA,NA,"itsamia","Back reef","Coral","HC",57,NA,"","Pre","GCRMN"
"Comoros",2005,NA,NA,"itsamia","Fore reef","Coral","HC",34,NA,"","Pre","GCRMN"
"Comoros",2004,NA,NA,"itsamia","Fore reef","Coral","HC",28,NA,"","Pre","GCRMN"
"Comoros",2011,NA,NA,"Itsandra","Back reef","Coral","HC",33,NA,"","Pre","GCRMN"
"Comoros",2009,NA,NA,"Itsandra","Back reef","Coral","HC",54,NA,"","Pre","GCRMN"
"Comoros",2007,NA,NA,"Itsandra","Back reef","Coral","HC",48,NA,"","Pre","GCRMN"
"Comoros",2007,NA,NA,"Itsandra","Fore reef","Coral","HC",48,NA,"","Pre","GCRMN"
"Comoros",2005,NA,NA,"Itsandra","Back reef","Coral","HC",49,NA,"","Pre","GCRMN"
"Comoros",2005,NA,NA,"Itsandra","Fore reef","Coral","HC",43,NA,"","Pre","GCRMN"
"Comoros",2004,NA,NA,"Itsandra","Fore reef","Coral","HC",43,NA,"","Pre","GCRMN"
"Comoros",2003,NA,NA,"Itsandra","Back reef","Coral","HC",46,NA,"","Pre","GCRMN"
"Comoros",2003,NA,NA,"Itsandra","Fore reef","Coral","HC",36,NA,"","Pre","GCRMN"
"Comoros",1999,NA,NA,"Itsandra","Back reef","Coral","HC",22,NA,"","Pre","GCRMN"
"Comoros",1999,NA,NA,"Itsandra","Fore reef","Coral","HC",55,NA,"","Pre","GCRMN"
"Comoros",2015,NA,NA,"Mea","Fore reef","Coral","HC",59,NA,"","Pre","GCRMN"
"Comoros",2011,NA,NA,"Mea","Back reef","Coral","HC",24,NA,"","Pre","GCRMN"
"Comoros",2009,NA,NA,"Mea","Back reef","Coral","HC",74,NA,"","Pre","GCRMN"
"Comoros",2007,NA,NA,"Mea","Back reef","Coral","HC",59,NA,"","Pre","GCRMN"
"Comoros",2005,NA,NA,"Mea","Back reef","Coral","HC",53,NA,"","Pre","GCRMN"
"Comoros",2005,NA,NA,"Mea","Fore reef","Coral","HC",51,NA,"","Pre","GCRMN"
"Comoros",2004,NA,NA,"Mea","Back reef","Coral","HC",24,NA,"","Pre","GCRMN"
"Comoros",2004,NA,NA,"Mea","Fore reef","Coral","HC",56,NA,"","Pre","GCRMN"
"Comoros",2003,NA,NA,"Mea","Back reef","Coral","HC",22,NA,"","Pre","GCRMN"
"Comoros",2003,NA,NA,"Mea","Fore reef","Coral","HC",54,NA,"","Pre","GCRMN"
