Country,Day,Month,Year,Sector,Site,Station,Reef.zone,benthic_name,benthic_code,mean_cover,sd,se,level,level1_code,level2_code,X..samples,Organization,Period,Source,benthic_name2
Comoros,NA,NA,2015,NA,NA,bimbini,Fore reef,Coral,HC,65,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2011,NA,NA,bimbini,Back reef,Coral,HC,24,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2007,NA,NA,bimbini,Back reef,Coral,HC,24,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2005,NA,NA,bimbini,Back reef,Coral,HC,19,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2004,NA,NA,bimbini,Back reef,Coral,HC,18,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,bimbini,Back reef,Coral,HC,25,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2011,NA,NA,itsamia,Back reef,Coral,HC,7,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2009,NA,NA,itsamia,Back reef,Coral,HC,57,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2005,NA,NA,itsamia,Fore reef,Coral,HC,34,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2004,NA,NA,itsamia,Fore reef,Coral,HC,28,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2011,NA,NA,itsandra,Back reef,Coral,HC,33,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2009,NA,NA,itsandra,Back reef,Coral,HC,54,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2007,NA,NA,itsandra,Back reef,Coral,HC,48,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2007,NA,NA,itsandra,Fore reef,Coral,HC,48,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2005,NA,NA,itsandra,Back reef,Coral,HC,49,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2005,NA,NA,itsandra,Fore reef,Coral,HC,43,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2004,NA,NA,itsandra,Fore reef,Coral,HC,43,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,itsandra,Back reef,Coral,HC,46,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2003,NA,NA,itsandra,Fore reef,Coral,HC,36,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,1999,NA,NA,itsandra,Back reef,Coral,HC,22,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,1999,NA,NA,itsandra,Fore reef,Coral,HC,55,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
Comoros,NA,NA,2015,NA,NA,mea,Fore reef,Coral,HC,59,NA,NA,1,HC,NA,NA,,Pre,GCRMN,Coral
