"Station","level1_code","mean_cover"
"bambao","BS",47.5
"bambao","DC",24.32
"bambao","HC",23.76
"bambao","SND",4.42
"bimbini","BS",22.83
"bimbini","DC",11.58
"bimbini","HC",54.25
"bimbini","INV",0.33
"bimbini","RUB",8.67
"bimbini","SND",2.33
"Itsandra","BS",18.17
"Itsandra","DC",3.08
"Itsandra","HC",57.18
"Itsandra","RUB",7.75
"Itsandra","SC",0.17
"Itsandra","SND",13.66
"Mea","AHAL",1
"Mea","DC",8.5
"Mea","HC",62.9
"Mea","INV",1
"Mea","RDC",4
"Mea","RUB",11.4
"Mea","SND",11.2
"mitsamiuli","BS",5.83
"mitsamiuli","DC",14.77
"mitsamiuli","HC",57.84
"mitsamiuli","INV",1
"mitsamiuli","RUB",9.25
"mitsamiuli","SND",11.32
"Moroni","BS",6.2
"Moroni","HC",87.9
"Moroni","RDC",1
"Moroni","RUB",2.6
"Moroni","SC",1.2
"Moroni","SND",1.1
"nkandzoni","ACOR",2
"nkandzoni","AHAL",3.1
"nkandzoni","AMAC",1
"nkandzoni","BS",9.4
"nkandzoni","DC",16.98
"nkandzoni","HC",35.82
"nkandzoni","INV",2
"nkandzoni","RDC",2.6
"nkandzoni","RUB",19.2
"nkandzoni","SC",7.9
"Sambia","ACOR",1.2
"Sambia","AHAL",3.5
"Sambia","AMAC",1.8
"Sambia","DC",13.4
"Sambia","HC",48.8
"Sambia","INV",0.7
"Sambia","RDC",5.8
"Sambia","RUB",18.7
"Sambia","SND",5.2
"Sambia","UNID",0.9
"wani","BS",26.42
"wani","DC",4.67
"wani","HC",64.84
"wani","INV",0.08
"wani","RUB",4
