Country,Site,Station,zone,Latitude,Longitude
Comoros,,bambao,Back reef,-12.20883333,44.5225
Comoros,,bambao,Fore reef,-12.20883333,44.5225
Comoros,,barakani,Back reef,-12.29296667,43.62386667
Comoros,,bimbini,Back reef,-12.19683333,44.22866667
Comoros,CORDIO,Chindini,,-11.935225,43.48370833
Comoros,,bimbini,Fore reef,-12.19683333,44.22866667
Comoros,CORDIO,Ferenga,,-12.4063,43.69545
Comoros,,chindini,Back reef,-11.9293,43.49171667
Comoros,,chindini,Fore reef,-11.9293,43.49171667
Comoros,,domoni,Back reef,-12.25316667,43.64136667
Comoros,,fomboni,Back reef,-12.27001667,43.73908333
Comoros,,hamavouna,Back reef,-12.389465,43.843245
Comoros,,hamba,Back reef,-12.2834,43.62168333
Comoros,CORDIO,Itsandra,,-11.66756667,43.26343333
Comoros,,hoani,Back reef,-12.25406667,43.66401667
Comoros,CORDIO,Male,,-11.86995,43.49945
Comoros,,itsamia,Back reef,-12.36921667,43.87231667
Comoros,,itsamia,Fore reef,-12.36921667,43.87231667
Comoros,,itsandra,Back reef,-11.67013333,43.26388333
Comoros,,itsandra,Fore reef,-11.67013333,43.26388333
Comoros,CORDIO,Mirereni,,-12.34021667,43.64998333
Comoros,,male,Back reef,-11.89966667,43.52521667
Comoros,CORDIO,Mitsamiouli,,-11.37620833,43.30193333
Comoros,,mchaco,Fore reef,-12.2215,43.5331
Comoros,,mea,Back reef,-12.38165,43.73766667
Comoros,,mea,Fore reef,-12.38165,43.73766667
Comoros,CORDIO,Moindzzaza,,-11.77658333,43.24103333
Comoros,,memboimboini,Back reef,-11.22517,43.18.534
Comoros,,miremani,Back reef,-12.35635,43.65743333
Comoros,,miringoni,Back reef,-12.3169,43.63336667
Comoros,,Miringoni,Fore reef,-12.3169,43.63336667
Comoros,,mitsamiuli,Back reef,-11.3758,43.3097
Comoros,,mitsamiuli,Fore reef,-11.3758,43.3097
Comoros,,mlongo mhu,Back reef,-12.162967,44.225817
Comoros,,moindzaza,Back reef,-11.77471667,43.23868333
Comoros,,moroni,Fore reef,-11.43,43.1712
Comoros,CORDIO,Shomoni,,-11.64466667,43.395
Comoros,,moya,Fore reef,-12.1044,44.2586
Comoros,,mtsaka,Back reef,-12.40413333,43.70853333
Comoros,,mtsanga nyamba,Back reef,-12.41131667,43.70916667
Comoros,,nindri,Back reef,-12.28968333,44.40696667
Comoros,,nioumachoi,Back reef,-12.22056,43.42.654
Comoros,,nioumachoi,Fore reef,-12.22056,43.42.654
Comoros,,nkandzoni,Back reef,-12.2443,43.3972
Comoros,,nkandzoni,Fore reef,-12.2443,43.3972
Comoros,,sambia,Back reef,-12.38331667,43.78685
Comoros,,sambia,Fore reef,-12.38331667,43.78685
Comoros,,shiroroni,Back reef,-12.38561667,44.49415
Comoros,,vassy,Back reef,-12.241274,44.332615
Comoros,,wallah1,Back reef,-12.2041,43.3912
Comoros,,wallah1,Fore reef,-12.2041,43.3912
Comoros,,wallah2,Fore reef,-12.2008,43.3857
Comoros,,wani,Back reef,-12.0647,44.2557
Comoros,,wani,Fore reef,-12.0647,44.2557
Comoros,,wenefu,Back reef,-12.3913,43.70635
Kenya,Watamu,Anthias,,-3.62086,40.031567
Kenya,Southcoast,Baazo,,-4.671083333,39.22658333
Kenya,Lamu,Baia_Allegra,,-2.221766667,41.0334
Kenya,Watamu,Bara_Bara,,-3.387003,39.988542
Kenya,Kiunga_MNR,Bomani,,-1.742583333,41.51686111
Kenya,Kiunga_MNR,Boso,,-1.732388889,41.52672222
Kenya,Kiunga_MNR,Ch._Boso,,-1.745972222,41.54513889
Kenya,Kiunga_MNR,Ch._Chano,,-2.010699967,41.33303002
Kenya,Kiunga_MNR,Ch._Hindi,,-1.907916667,41.37144444
Kenya,Kiunga_MNR,Ch._Kui,,-1.857833333,41.45583333
Kenya,Kiunga_MNR,Ch._magogoni,,-1.89175,41.42866667
Kenya,Kiunga_MNR,Ch._Mongo_Shariff,,-1.86775,41.4496
Kenya,Kiunga_MNR,Ch._Mvundeni,,-1.934333333,41.3913
Kenya,Kiunga_MNR,Ch._Sudhi,,-1.80559,41.47402
Kenya,Malindi-Ugwana_bay,Che_shale,,-3.0642679,40.175438
Kenya,Diani_Chale,Chidibwi_peremede,,-4.493656648,39.57815574
Kenya,Diani_Chale,Chidzamba_cha_jadini,,-4.323351093,39.57476685
Kenya,Diani-Chale,Chidzamba_cha_mavovo,,-4.3405,39.375166
Kenya,Diani-Chale,Chidzamba_cha_mekka,,-4.3405,39.57071667
Kenya,Diani_Chale,Chidzamba_cha_mtsangani,,-4.33626776,39.57518352
Kenya,Diani-Chale,Chidzamba_cha_mwambogoya,,-4.364573315,39.57010018
Kenya,Kiunga_MNR,Chole,,-1.892883333,41.3831
Kenya,Southcoast,Chumani,,-4.654,39.337
Kenya,Watamu,Coral_Garden,,-3.382883333,39.99198333
Kenya,Diani-Chale,Doa_la_maweni,,-4.2807,39.312833
Kenya,Diani-Chale,Doa_la_msusa,,-4.27785,39.311833
Kenya,Watamu,Dolphin,,-3.367028,40.024064
Kenya,Watamu,Drummers,,-3.369483,40.018006
Kenya,Southcoast,Funzi,,-4.588,39.444
Kenya,Southcoast,Funzi,,-4.588,39.444
Kenya,Diani_Chale,Gaani,,-4.441101093,39.5380724
Kenya,Diani_Chale,Guruti_ya_pappilloni,,-4.360878871,39.64204463
Kenya,Diani_Chale,Hungani,,-4.35735,39.56716667
Kenya,Lamu,Iweni,,-2.214722028,41.00655003
Kenya,Kiunga_MNR,Kadhikia,,-1.717888889,41.54136111
Kenya,Mombasa,Kanamai,,-3.92337,39.78758333
Kenya,Mombasa,Kasa,,-3.98282,39.76192
Kenya,Diani_Chale,Kibororiani,,-4.40658,39.55362
Kenya,Southcoast,Kibuyuni,,-4.641,39.338
Kenya,Malindi-Ugwana_bay,Kichwa_cha_kati,,-3.06245296,40.183099
Kenya,Kiunga_MNR,Kijiweni,,-1.784616667,41.49433333
Kenya,Lamu,Kinyika_outer,,-2.43023,40.8401
Kenya,Southcoast,Kiromo,,-4.643,39.32
