"Period","Site","mean_cover","sd","Year","n","pct.chg","pre.bl"
"Pre","Kilifi",28,NA,2014,1,NA,"28 ± NaN"
"Post","Kilifi",28,NA,2017,1,0,"28 ± NaN"
"Pre","Lamu",39,24.7,2016,2,NA,"39 ± 24.7"
"Post","Lamu",19,2.8,2017,2,-51,"19 ± 2.8"
"Pre","Malindi",17,13.1,2015,5,NA,"17 ± 13.1"
"Post","Malindi",23,11.6,2016,5,35,"23 ± 11.6"
"Pre","Mombasa",29,2.6,2013,4,NA,"29 ± 2.6"
"Post","Mombasa",26,9.1,2016,4,-10,"26 ± 9.1"
"Pre","Shimoni",28,15.7,2014,4,NA,"28 ± 15.7"
"Post","Shimoni",32,3.6,2017,4,14,"32 ± 3.6"
"Pre","Watamu",19,10.2,2014,5,NA,"19 ± 10.2"
"Post","Watamu",19,9.2,2017,5,0,"19 ± 9.2"
