"Country","Year","Sector","Site","Station","Reef.zone","Period","level1_code","cover"
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","ACOR",0
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","AHAL",0
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","AMAC",8.3
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","ATRF",46.7
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","HC",3.3
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","INV",7.3
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","RUB",5
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SC",26.7
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SGR",1.7
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SND",8.3
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SPG",18.3
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","ACOR",0.2
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","AHAL",0.2
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","AMAC",10
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","ATRF",58.3
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","HC",0.7
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","INV",0
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","RUB",0.7
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","SC",0
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","SGR",11.7
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","SND",18.3
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","SPG",0
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","ACOR",0
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","AHAL",0
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","AMAC",15.3
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","ATRF",40
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","HC",1.7
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","INV",0
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","RUB",11.7
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","SC",0.5
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","SGR",23.3
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","SND",7.3
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","SPG",0.2
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","ACOR",0
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","AHAL",0
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","AMAC",1.5
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","ATRF",66.4
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","HC",7.1
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","INV",0
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","RUB",0.5
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SC",0
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SGR",0
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SND",24.6
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SPG",0
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","ACOR",0
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","AHAL",0
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","AMAC",3.8
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","ATRF",73.9
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","HC",6.8
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","INV",0
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","RUB",2.2
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","SC",0.3
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","SGR",0.5
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","SND",12.5
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","SPG",0
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","ACOR",0.2
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","AHAL",0.4
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","AMAC",29.4
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","ATRF",50.5
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","HC",1.9
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","INV",0
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","RUB",1.5
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","SC",0.3
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","SGR",3.6
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","SND",12.2
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","SPG",0
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","ACOR",12.1
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","AHAL",18.8
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","AMAC",2.1
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","ATRF",36.4
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","HC",14.4
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","INV",1
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","RUB",1.1
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","SGR",2.5
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","SND",8.1
"Kenya",2004,"","Watamu","Richard_Bernets",NA,"Pre","ACOR",6.3
"Kenya",2004,"","Watamu","Richard_Bernets",NA,"Pre","AHAL",27.4
"Kenya",2004,"","Watamu","Richard_Bernets",NA,"Pre","AMAC",2.7
"Kenya",2004,"","Watamu","Richard_Bernets",NA,"Pre","ATRF",33.8
"Kenya",2004,"","Watamu","Richard_Bernets",NA,"Pre","HC",12.4
"Kenya",2004,"","Watamu","Richard_Bernets",NA,"Pre","RUB",10.2
"Kenya",2004,"","Watamu","Richard_Bernets",NA,"Pre","SC",0.8
"Kenya",2004,"","Watamu","Richard_Bernets",NA,"Pre","SND",2.3
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","ACOR",0.3
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","AHAL",0
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","AMAC",6.5
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","ATRF",72.6
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","HC",7.5
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","INV",0
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","RUB",4.1
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SC",0.7
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SGR",0
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SND",8.3
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","SPG",0
"Kenya",2004,NA,"Diani-Chale","Mtengo",NA,"Pre","ACOR",1.5
"Kenya",2004,NA,"Diani-Chale","Mtengo",NA,"Pre","AHAL",0
"Kenya",2004,NA,"Diani-Chale","Mtengo",NA,"Pre","AMAC",3.2
"Kenya",2004,NA,"Diani-Chale","Mtengo",NA,"Pre","ATRF",54.4
"Kenya",2004,NA,"Diani-Chale","Mtengo",NA,"Pre","HC",16.6
"Kenya",2004,NA,"Diani-Chale","Mtengo",NA,"Pre","INV",0
