"Period","Site","mean_cover","se","n","pct.chg"
"Pre","Andavadoaka",35.5133333336667,10.7628687831176,3,NA
"Post","Andavadoaka",37.0833333333333,11.5276690088577,3,4.42087478783162
"Pre","Ankarea",76.4437618241667,3.66465886931192,12,NA
"Post","Ankarea",61.7729166666667,2.77194832601475,12,-19.1916839352378
"Pre","Ankivonjy",44.20634191125,5.11240474456726,8,NA
"Post","Ankivonjy",47.071875,4.72898650210101,8,6.4821764589862
"Pre","Nosy Be",49.1075,6.62072550782767,4,NA
"Post","Nosy Be",28.72,7.2986014642076,4,-41.5160617013695
"Pre","Nosy Komba",60.9866666666667,2.25908781984627,3,NA
"Post","Nosy Komba",44.4766666666667,3.33647685107776,3,-27.0714910362921
"Pre","Soariake",35.3812656637273,6.24303626656587,11,NA
"Post","Soariake",32.8748993190909,5.3436929296826,11,-7.0838798375884
