"","Country","Year","Sector","Site","Station","Reef.zone","benthic_name2","benthic_code","mean_cover","sd","Organization","Period","Source","Latitude","Longitude"
"1","Comoros",2015,NA,NA,"bimbini","Fore reef","Coral","HC",65,NA,"","Pre","GCRMN",-12.19683333,44.22866667
"2","Comoros",2011,NA,NA,"bimbini","Back reef","Coral","HC",24,NA,"","Pre","GCRMN",-12.19683333,44.22866667
"3","Comoros",2007,NA,NA,"bimbini","Back reef","Coral","HC",24,NA,"","Pre","GCRMN",-12.19683333,44.22866667
"4","Comoros",2005,NA,NA,"bimbini","Back reef","Coral","HC",19,NA,"","Pre","GCRMN",-12.19683333,44.22866667
"5","Comoros",2004,NA,NA,"bimbini","Back reef","Coral","HC",18,NA,"","Pre","GCRMN",-12.19683333,44.22866667
"6","Comoros",2003,NA,NA,"bimbini","Back reef","Coral","HC",25,NA,"","Pre","GCRMN",-12.19683333,44.22866667
"7","Comoros",2011,NA,NA,"itsamia","Back reef","Coral","HC",7,NA,"","Pre","GCRMN",-12.36921667,43.87231667
"8","Comoros",2009,NA,NA,"itsamia","Back reef","Coral","HC",57,NA,"","Pre","GCRMN",-12.36921667,43.87231667
"9","Comoros",2005,NA,NA,"itsamia","Fore reef","Coral","HC",34,NA,"","Pre","GCRMN",-12.36921667,43.87231667
"10","Comoros",2004,NA,NA,"itsamia","Fore reef","Coral","HC",28,NA,"","Pre","GCRMN",-12.36921667,43.87231667
"11","Comoros",2011,NA,NA,"Itsandra","Back reef","Coral","HC",33,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"12","Comoros",2009,NA,NA,"Itsandra","Back reef","Coral","HC",54,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"13","Comoros",2007,NA,NA,"Itsandra","Back reef","Coral","HC",48,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"14","Comoros",2007,NA,NA,"Itsandra","Fore reef","Coral","HC",48,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"15","Comoros",2005,NA,NA,"Itsandra","Back reef","Coral","HC",49,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"16","Comoros",2005,NA,NA,"Itsandra","Fore reef","Coral","HC",43,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"17","Comoros",2004,NA,NA,"Itsandra","Fore reef","Coral","HC",43,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"18","Comoros",2003,NA,NA,"Itsandra","Back reef","Coral","HC",46,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"19","Comoros",2003,NA,NA,"Itsandra","Fore reef","Coral","HC",36,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"20","Comoros",1999,NA,NA,"Itsandra","Back reef","Coral","HC",22,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"21","Comoros",1999,NA,NA,"Itsandra","Fore reef","Coral","HC",55,NA,"","Pre","GCRMN",-11.67013333,43.26388333
"22","Comoros",2015,NA,NA,"Mea","Fore reef","Coral","HC",59,NA,"","Pre","GCRMN",-12.38165,43.73766667
"23","Comoros",2011,NA,NA,"Mea","Back reef","Coral","HC",24,NA,"","Pre","GCRMN",-12.38165,43.73766667
"24","Comoros",2009,NA,NA,"Mea","Back reef","Coral","HC",74,NA,"","Pre","GCRMN",-12.38165,43.73766667
"25","Comoros",2007,NA,NA,"Mea","Back reef","Coral","HC",59,NA,"","Pre","GCRMN",-12.38165,43.73766667
"26","Comoros",2005,NA,NA,"Mea","Back reef","Coral","HC",53,NA,"","Pre","GCRMN",-12.38165,43.73766667
"27","Comoros",2005,NA,NA,"Mea","Fore reef","Coral","HC",51,NA,"","Pre","GCRMN",-12.38165,43.73766667
"28","Comoros",2004,NA,NA,"Mea","Back reef","Coral","HC",24,NA,"","Pre","GCRMN",-12.38165,43.73766667
"29","Comoros",2004,NA,NA,"Mea","Fore reef","Coral","HC",56,NA,"","Pre","GCRMN",-12.38165,43.73766667
"30","Comoros",2003,NA,NA,"Mea","Back reef","Coral","HC",22,NA,"","Pre","GCRMN",-12.38165,43.73766667
"31","Comoros",2003,NA,NA,"Mea","Fore reef","Coral","HC",54,NA,"","Pre","GCRMN",-12.38165,43.73766667
"32","Comoros",2002,NA,NA,"Mea","Fore reef","Coral","HC",33,NA,"","Pre","GCRMN",-12.38165,43.73766667
"33","Comoros",2011,NA,NA,"memboimboini","Back reef","Coral","HC",29,NA,"","Pre","GCRMN",-11.22517,NA
"34","Comoros",2009,NA,NA,"memboimboini","Back reef","Coral","HC",35,NA,"","Pre","GCRMN",-11.22517,NA
"35","Comoros",2015,NA,NA,"Moroni","Fore reef","Coral","HC",70,NA,"","Pre","GCRMN",-11.43,43.1712
"36","Comoros",2007,NA,NA,"Moroni","Fore reef","Coral","HC",71,NA,"","Pre","GCRMN",-11.43,43.1712
"37","Comoros",2005,NA,NA,"Moroni","Fore reef","Coral","HC",67,NA,"","Pre","GCRMN",-11.43,43.1712
"38","Comoros",2004,NA,NA,"Moroni","Fore reef","Coral","HC",54,NA,"","Pre","GCRMN",-11.43,43.1712
"39","Comoros",2003,NA,NA,"Moroni","Fore reef","Coral","HC",64,NA,"","Pre","GCRMN",-11.43,43.1712
"40","Comoros",2011,NA,NA,"Sambia","Back reef","Coral","HC",15,NA,"","Pre","GCRMN",-12.38331667,43.78685
"41","Comoros",2009,NA,NA,"Sambia","Back reef","Coral","HC",44,NA,"","Pre","GCRMN",-12.38331667,43.78685
"42","Comoros",2009,NA,NA,"Sambia","Fore reef","Coral","HC",32,NA,"","Pre","GCRMN",-12.38331667,43.78685
"43","Comoros",2003,NA,NA,"Sambia","Back reef","Coral","HC",55,NA,"","Pre","GCRMN",-12.38331667,43.78685
"44","Comoros",2003,NA,NA,"Sambia","Fore reef","Coral","HC",43,NA,"","Pre","GCRMN",-12.38331667,43.78685
"45","Comoros",2002,NA,NA,"Sambia","Back reef","Coral","HC",54,NA,"","Pre","GCRMN",-12.38331667,43.78685
"46","Comoros",2002,NA,NA,"Sambia","Fore reef","Coral","HC",42,NA,"","Pre","GCRMN",-12.38331667,43.78685
"47","Comoros",2015,NA,NA,"wani","Fore reef","Coral","HC",61,NA,"","Pre","GCRMN",-12.0647,44.2557
"48","Comoros",2011,NA,NA,"wani","Back reef","Coral","HC",34,NA,"","Pre","GCRMN",-12.0647,44.2557
"49","Comoros",2009,NA,NA,"wani","Back reef","Coral","HC",47,NA,"","Pre","GCRMN",-12.0647,44.2557
"50","Comoros",2007,NA,NA,"wani","Fore reef","Coral","HC",78,NA,"","Pre","GCRMN",-12.0647,44.2557
"51","Comoros",2004,NA,NA,"wani","Back reef","Coral","HC",38,NA,"","Pre","GCRMN",-12.0647,44.2557
"52","Comoros",2003,NA,NA,"wani","Fore reef","Coral","HC",62,NA,"","Pre","GCRMN",-12.0647,44.2557
"53","Comoros",2003,NA,NA,"wani","Back reef","Coral","HC",37,NA,"","Pre","GCRMN",-12.0647,44.2557
"54","Tanzania",1999,NA,"Mafia","Msumbiji",NA,"Dead Standing coral","DC",10,NA,"","Pre","GCRMN",-7.97028,39.8025
"55","Tanzania",1999,NA,"Mafia","Msumbiji",NA,"Coral","HC",32,NA,"","Pre","GCRMN",-7.97028,39.8025
"56","Tanzania",1999,NA,"Mafia","Msumbiji",NA,"Soft coral","SC",6,NA,"","Pre","GCRMN",-7.97028,39.8025
"57","Tanzania",1999,NA,"Mafia","Msumbiji",NA,"Spongy","SPG",5,NA,"","Pre","GCRMN",-7.97028,39.8025
"58","Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"59","Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",46,NA,"","Pre","GCRMN",-6.36358,39.28455
"60","Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",8,NA,"","Pre","GCRMN",-6.36358,39.28455
"61","Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",27,NA,"","Pre","GCRMN",-6.36358,39.28455
"62","Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Coral","HC",15,NA,"","Pre","GCRMN",-6.36358,39.28455
"63","Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"64","Tanzania",2007,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",2,NA,"","Pre","GCRMN",-6.36358,39.28455
"65","Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"66","Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",53,NA,"","Pre","GCRMN",-6.36358,39.28455
"67","Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",25,NA,"","Pre","GCRMN",-6.36358,39.28455
"68","Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",5,NA,"","Pre","GCRMN",-6.36358,39.28455
"69","Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Coral","HC",14,NA,"","Pre","GCRMN",-6.36358,39.28455
"70","Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"71","Tanzania",2006,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"72","Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"73","Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",51,NA,"","Pre","GCRMN",-6.36358,39.28455
"74","Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",9,NA,"","Pre","GCRMN",-6.36358,39.28455
"75","Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",21,NA,"","Pre","GCRMN",-6.36358,39.28455
"76","Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Coral","HC",16,NA,"","Pre","GCRMN",-6.36358,39.28455
"77","Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"78","Tanzania",2005,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"79","Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"80","Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",48,NA,"","Pre","GCRMN",-6.36358,39.28455
"81","Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",8,NA,"","Pre","GCRMN",-6.36358,39.28455
"82","Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",25,NA,"","Pre","GCRMN",-6.36358,39.28455
"83","Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Coral","HC",15,NA,"","Pre","GCRMN",-6.36358,39.28455
"84","Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"85","Tanzania",2004,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"86","Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"87","Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",45,NA,"","Pre","GCRMN",-6.36358,39.28455
"88","Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",5,NA,"","Pre","GCRMN",-6.36358,39.28455
"89","Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",31,NA,"","Pre","GCRMN",-6.36358,39.28455
"90","Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Coral","HC",14,NA,"","Pre","GCRMN",-6.36358,39.28455
"91","Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"92","Tanzania",2003,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"93","Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",2,NA,"","Pre","GCRMN",-6.36358,39.28455
"94","Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",51,NA,"","Pre","GCRMN",-6.36358,39.28455
"95","Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",25,NA,"","Pre","GCRMN",-6.36358,39.28455
"96","Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",4,NA,"","Pre","GCRMN",-6.36358,39.28455
"97","Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Coral","HC",15,NA,"","Pre","GCRMN",-6.36358,39.28455
"98","Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"99","Tanzania",2002,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"100","Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"101","Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",41,NA,"","Pre","GCRMN",-6.36358,39.28455
"102","Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",17,NA,"","Pre","GCRMN",-6.36358,39.28455
"103","Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",24,NA,"","Pre","GCRMN",-6.36358,39.28455
"104","Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Coral","HC",15,NA,"","Pre","GCRMN",-6.36358,39.28455
"105","Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"106","Tanzania",2001,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"107","Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"108","Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",33,NA,"","Pre","GCRMN",-6.36358,39.28455
"109","Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",20,NA,"","Pre","GCRMN",-6.36358,39.28455
"110","Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",30,NA,"","Pre","GCRMN",-6.36358,39.28455
"111","Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Coral","HC",14,NA,"","Pre","GCRMN",-6.36358,39.28455
"112","Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"113","Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"114","Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",4,NA,"","Pre","GCRMN",-6.36358,39.28455
"115","Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",37,NA,"","Pre","GCRMN",-6.36358,39.28455
"116","Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",22,NA,"","Pre","GCRMN",-6.36358,39.28455
"117","Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",11,NA,"","Pre","GCRMN",-6.36358,39.28455
"118","Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Coral","HC",22,NA,"","Pre","GCRMN",-6.36358,39.28455
"119","Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"120","Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",1,NA,"","Pre","GCRMN",-6.36358,39.28455
"121","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",5,NA,"","Pre","GCRMN",-6.36358,39.28455
"122","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",41,NA,"","Pre","GCRMN",-6.36358,39.28455
"123","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",21,NA,"","Pre","GCRMN",-6.36358,39.28455
"124","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",11,NA,"","Pre","GCRMN",-6.36358,39.28455
"125","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Coral","HC",20,NA,"","Pre","GCRMN",-6.36358,39.28455
"126","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN",-6.36358,39.28455
"127","Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN",-6.36358,39.28455
