"COUNTRY","NAP","Transect_ID","YEAR","benthic_cover","mean_cover","sd","samples","benthic_code","Organization","Period","Source"
"Madagascar","Ankarea","Ambari_11",2016,"Coral",59.25,27.543028538137,20,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Ambari_11",2016,"Soft coral",7.5,15.8529426124516,20,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Ambari_11",2016,"Algae-macro/fleshy",6.75,13.3056181248453,20,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Ambari_11",2017,"Coral",52.325,26.0161562229201,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Ambari_11",2017,"Soft coral",2.9,9.26753362482055,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Ambari_11",2017,"Algae-macro/fleshy",13.075,19.4466891256254,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Ampa_10",2016,"Coral",74,24.2162873171874,15,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Ampa_10",2016,"Soft coral",3.33333333333333,4.49867705421219,15,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Ampa_10",2016,"Algae-macro/fleshy",1.33333333333333,2.96808419852332,15,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Ampa_10",2017,"Coral",59.125,24.7522985205674,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Ampa_10",2017,"Soft coral",4.45,7.66594199473663,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Ampa_10",2017,"Algae-macro/fleshy",8.5,12.1275274923178,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Ankarea_03",2016,"Coral",83.25,17.2653440528464,20,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Ankarea_03",2016,"Soft coral",4,9.26226072210292,20,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Ankarea_03",2016,"Algae-macro/fleshy",1,4.47213595499958,20,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Ankarea_03",2017,"Coral",64.425,23.3566412891,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Ankarea_03",2017,"Soft coral",5,5.99572497273832,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Ankarea_03",2017,"Algae-macro/fleshy",8.4,9.61249187255833,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Antsoa_07",2016,"Coral",75.7894736842105,20.1565510370103,19,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Antsoa_07",2016,"Soft coral",9.73684210526316,15.2273223197396,19,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Antsoa_07",2016,"Algae-macro/fleshy",0,0,19,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Antsoa_07",2017,"Coral",39.75,19.3135398234715,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Antsoa_07",2017,"Soft coral",24.05,18.5830774962268,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Antsoa_07",2017,"Algae-macro/fleshy",3.3,5.76105403461412,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Beangovo_04",2016,"Coral",45.3333333333333,24.8902352243568,15,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Beangovo_04",2016,"Soft coral",41.3333333333333,24.818387960389,15,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Beangovo_04",2016,"Algae-macro/fleshy",0,0,15,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Beangovo_04",2017,"Coral",60.8,21.3867919940058,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Beangovo_04",2017,"Soft coral",22.025,20.119498770328,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Beangovo_04",2017,"Algae-macro/fleshy",0.625,2.0215188501566,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyFisaka_02",2016,"Coral",81.4705882352941,23.6355601981919,17,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyFisaka_02",2016,"Soft coral",4.70588235294118,8.19118967154919,17,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyFisaka_02",2016,"Algae-macro/fleshy",0,0,17,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyFisaka_02",2017,"Coral",59.95,27.7922235941584,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyFisaka_02",2017,"Soft coral",5.3,6.58747840944255,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyFisaka_02",2017,"Algae-macro/fleshy",3.725,9.00423689444486,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyKaine_09",2016,"Coral",87.9411764705882,23.1205281844817,17,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyKaine_09",2016,"Soft coral",2.05882352941176,7.30128916900377,17,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyKaine_09",2016,"Algae-macro/fleshy",0,0,17,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyKaine_09",2017,"Coral",67.075,23.2029921810495,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyKaine_09",2017,"Soft coral",4.175,6.54329760822046,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyKaine_09",2017,"Algae-macro/fleshy",0.6,1.99743425166977,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyKarabo_06",2016,"Coral",87.8947368421053,15.9265492420748,19,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyKarabo_06",2016,"Soft coral",10.7894736842105,15.1165066046962,19,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyKarabo_06",2016,"Algae-macro/fleshy",0,0,19,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyKarabo_06",2017,"Coral",60.075,24.473310947192,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyKarabo_06",2017,"Soft coral",8.55,10.0382601414123,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyKarabo_06",2017,"Algae-macro/fleshy",4.45,7.37963239998947,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyLava_01",2016,"Coral",86.5625,20.9538182678003,16,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyLava_01",2016,"Soft coral",1.25,3.87298334620742,16,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyLava_01",2016,"Algae-macro/fleshy",0,0,16,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyLava_01",2017,"Coral",79.75,21.332231542061,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyLava_01",2017,"Soft coral",0.05,0.316227766016838,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyLava_01",2017,"Algae-macro/fleshy",2.85,5.00538171909457,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyVazoa_05",2016,"Coral",79.25,22.8999540335094,20,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyVazoa_05",2016,"Soft coral",8.75,20.2533298107016,20,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyVazoa_05",2016,"Algae-macro/fleshy",0,0,20,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","NosyVazoa_05",2017,"Coral",63.125,24.3554737700604,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyVazoa_05",2017,"Soft coral",2.1,8.05684929192675,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","NosyVazoa_05",2017,"Algae-macro/fleshy",6.875,9.45213990152223,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Rata_12",2016,"Coral",73.25,27.3993372950976,20,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Rata_12",2016,"Soft coral",6.75,15.9171374046307,20,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Rata_12",2016,"Algae-macro/fleshy",0,0,20,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Rata_12",2017,"Coral",68.3,23.015268064973,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Rata_12",2017,"Soft coral",7.025,8.73098666847729,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Rata_12",2017,"Algae-macro/fleshy",1.85,4.8280696360198,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Tsara_08",2016,"Coral",83.3333333333333,20.5866345916355,15,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Tsara_08",2016,"Soft coral",3.33333333333333,7.94325110362489,15,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Tsara_08",2016,"Algae-macro/fleshy",0,0,15,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankarea","Tsara_08",2017,"Coral",66.575,22.3146353032701,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Tsara_08",2017,"Soft coral",3.325,7.7007741868544,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankarea","Tsara_08",2017,"Algae-macro/fleshy",6.875,14.7059860478999,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Ambatofisaka_19",2016,"Coral",47,34.0587727318528,15,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankivonjy","Ambatofisaka_19",2016,"Soft coral",3.33333333333333,12.9099444873581,15,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankivonjy","Ambatofisaka_19",2016,"Algae-macro/fleshy",13.6666666666667,17.7750493938099,15,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankivonjy","Ambatofisaka_19",2017,"Coral",33.25,23.1923395841087,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Ambatofisaka_19",2017,"Soft coral",9.175,18.0893615144372,40,"SC","WCS Madagascar","Post","New"
