SORT,COUNTRY,NAP ,Transect_ID,LOCATION,SITE,OBSERVER,YEAR,MONTH,DAY,LAT,LONG,DEPTH,TEMPERATURE,MANAGEMENT,HABITAT,QUADRAT,HARD_CORAL,SOFT_CORAL,MACROALGAE,MONTH_B,MONTH_YEAR,MONTH_YEAR_B
1,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",1,6,75,9,November,November_2017,04_November_2017
2,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",2,0,85,10,November,November_2017,04_November_2017
3,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",3,10,89,3,November,November_2017,04_November_2017
4,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",4,9,85,4,November,November_2017,04_November_2017
5,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",5,12,78,7,November,November_2017,04_November_2017
6,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",6,5,50,8,November,November_2017,04_November_2017
7,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",7,7,85,4,November,November_2017,04_November_2017
8,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",8,3,80,3,November,November_2017,04_November_2017
9,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",9,0,90,5,November,November_2017,04_November_2017
10,MADAGASCAR,SOARIAKE,Andra_06,,Andravona_6,Hoamby Arielle Inès,2017,11,28,-22.48288,43.2364,12,27,No Take,"Outer reef, forereef",10,5,88,7,November,November_2017,04_November_2017
