"Transect_ID","LOCATION","SITE","lat","long"
"Ambari_11","Ankarea","Ambarinidada","",""
"Ambari_11","Ankarea","Amparamidada (AMB11)","",""
"Ambari_11","Ankarea MPA","Ambarinidada","-12.74733333","48.67083333"
"Ambari_11","Ratapendrika","AMBA11 (AMBARINIDADA)","12.91528","48.60692"
"Ambatofisaka_19","Ankivonjy","Ambatofisaka","",""
"Ambatofisaka_19","Ankivonjy","Ambatofisaka (AMBA19)","",""
"Ambatofisaka_19","Ankivonjy","Ambatomily","",""
"Ambatofisaka_19","Ankivonjy MPA","Ambatofisaka","-12.74733333","48.67083333"
"Ambatofisaka_19","Iranja","AMBA19 (AMBATOFISAKA)","13.60428","47.81103"
"Ambatomilay_18","Ankivonjy","Ambatomilay (AMBA18)","",""
"Ambatomilay_18","Ankivonjy MPA","Ambatomilay","-12.74733333","48.67083333"
"Ambatomilay_18","Iranja","AMBA18 (AMBATOMILAY)","13.60506","47.80494"
"Ampa_10","Ankarea","Amparimilay","",""
"Ampa_10","Ankarea","Amparimilay (AMP10)","",""
"Ampa_10","Ankarea MPA","Amparimilay","-12.74733333","48.67083333"
"Ampa_10","Ratapendrika","AMPA10","12.88619","48.56236"
"Andra_06","","Andravona_6","-22.48288","43.2364"
"Andra_06","Andravona","Andranolaly","",""
"Andravona_08","","ANDREFANA ANKARIAKE 8","-22.46936","43.23638"
"Andravona_08","Andravona","Andravona_08","",""
"Andravona_08","Soriake MPA","Andravona_TRA08","-22.46936","43.23638"
"Andravona_12","","Andravona (ANDR12)","22.44011","43.23909"
"Andravona_12","Andravona","Andravona_12","",""
"Andravona_12","Soriake MPA","Andravona_TRA12","-22.44011","43.23909"
"Andravona_unknown","","Andravona","22º44,011","43º23,909"
"Andre_07","","Andravona_7","",""
"Andre_07","","Andrefa Ankarahake","22º44,588","43º23,796"
"Andre_07","Kolombangara","Andrefa Ankarahaky","",""
"Andre_07","Soriake MPA","Andravona_TRA07","-22.44588","43.23796"
"Anka_01","","Ankaramifoke","22º65,238","43º27,366"
