"Country","Site","Station","Period","benthic_category","recent_year","no_years_benthic","recent_cover","ave_cover","cover","paste(algae_r1$Site, algae_r1$Station, sep = """")"
"Kenya","Kilifi","Kuruwitu","Pre","FA",2014,1,50.38,50.38,50.38,"KilifiKuruwitu"
"Kenya","Kilifi","Kuruwitu","Pre","HC",2014,1,28.2,28.2,28.2,"KilifiKuruwitu"
"Kenya","Kilifi","Kuruwitu","Post","FA",2017,1,32.33,32.33,32.33,"KilifiKuruwitu"
"Kenya","Kilifi","Kuruwitu","Post","HC",2017,1,28.32,28.32,28.32,"KilifiKuruwitu"
"Kenya","Kisite","Mkwiro","Pre","FA",2014,2,21,38.05,38.05,"KisiteMkwiro"
"Kenya","Kisite","Mkwiro","Pre","HC",2014,2,17.1,19.35,19.35,"KisiteMkwiro"
"Kenya","Kisite","Mkwiro","Post","FA",2016,1,43.18,43.18,43.18,"KisiteMkwiro"
"Kenya","Kisite","Mkwiro","Post","HC",2016,1,28.83,28.83,28.83,"KisiteMkwiro"
"Kenya","Lamu","Majongooni","Pre","FA",2014,1,71.3,71.3,71.3,"LamuMajongooni"
"Kenya","Lamu","Majongooni","Pre","HC",2014,1,21.5,21.5,21.5,"LamuMajongooni"
"Kenya","Lamu","Majongooni","Post","FA",2017,1,18.99,18.99,18.99,"LamuMajongooni"
"Kenya","Lamu","Majongooni","Post","HC",2017,1,16.99,16.99,16.99,"LamuMajongooni"
"Kenya","Lamu","Pezali_Rock","Pre","FA",2016,3,7.9,37.4,37.4,"LamuPezali_Rock"
"Kenya","Lamu","Pezali_Rock","Pre","HC",2016,3,56.4,30.3,30.3,"LamuPezali_Rock"
"Kenya","Lamu","Pezali_Rock","Post","FA",2017,1,48.67,48.67,48.67,"LamuPezali_Rock"
"Kenya","Lamu","Pezali_Rock","Post","HC",2017,1,21,21,21,"LamuPezali_Rock"
"Kenya","Malindi","Kivulini","Pre","FA",2014,1,25.563873733,25.563873733,25.563873733,"MalindiKivulini"
"Kenya","Malindi","Kivulini","Pre","HC",2014,1,5.42426057,5.42426057,5.42426057,"MalindiKivulini"
"Kenya","Malindi","Kivulini","Post","FA",2016,1,59.6,59.6,59.6,"MalindiKivulini"
"Kenya","Malindi","Kivulini","Post","HC",2016,1,9.68,9.68,9.68,"MalindiKivulini"
"Kenya","Malindi","Mayunguni","Pre","FA",2015,3,22.5,37.0666666666667,37.0666666666667,"MalindiMayunguni"
"Kenya","Malindi","Mayunguni","Pre","HC",2015,3,5.3,16.6666666666667,16.6666666666667,"MalindiMayunguni"
"Kenya","Malindi","Mayunguni","Post","FA",2017,1,51.01,51.01,51.01,"MalindiMayunguni"
"Kenya","Malindi","Mayunguni","Post","HC",2017,1,15.34,15.34,15.34,"MalindiMayunguni"
"Kenya","Malindi","New_Coral_Garden","Pre","FA",2015,3,7.5,25.2333333333333,25.2333333333333,"MalindiNew_Coral_Garden"
"Kenya","Malindi","New_Coral_Garden","Pre","HC",2015,3,36.5,42.5666666666667,42.5666666666667,"MalindiNew_Coral_Garden"
"Kenya","Malindi","New_Coral_Garden","Post","FA",2016,1,11.26,11.26,11.26,"MalindiNew_Coral_Garden"
"Kenya","Malindi","New_Coral_Garden","Post","HC",2016,1,40.36,40.36,40.36,"MalindiNew_Coral_Garden"
"Kenya","Malindi","North_Reef","Pre","FA",2015,3,13.5,38.3666666666667,38.3666666666667,"MalindiNorth_Reef"
