"Country","Year","Sector","Site","Station","Reef.zone","Period","site.id","FA","HC"
"Kenya",2001,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","Kenya_Diani-Chale_Chidzamba_cha_mekka",55,3.3
"Kenya",2001,NA,"Diani-Chale","Mtengo",NA,"Pre","Kenya_Diani-Chale_Mtengo",68.5,0.7
"Kenya",2001,NA,"Diani-Chale","Mwagogo",NA,"Pre","Kenya_Diani-Chale_Mwagogo",55.3,1.7
"Kenya",2003,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","Kenya_Diani-Chale_Chidzamba_cha_mekka",67.9,7.1
"Kenya",2003,NA,"Diani-Chale","Mtengo",NA,"Pre","Kenya_Diani-Chale_Mtengo",77.7,6.8
"Kenya",2003,NA,"Diani-Chale","Tsipitali",NA,"Pre","Kenya_Diani-Chale_Tsipitali",80.3,1.9
"Kenya",2004,"","Watamu","Coral_Garden",NA,"Pre","Kenya_Watamu_Coral_Garden",57.3,14.4
"Kenya",2004,"","Watamu","Richard_Bernets",NA,"Pre","Kenya_Watamu_Richard_Bernets",63.9,12.4
"Kenya",2004,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","Kenya_Diani-Chale_Chidzamba_cha_mekka",79.1,7.5
"Kenya",2004,NA,"Diani-Chale","Mtengo",NA,"Pre","Kenya_Diani-Chale_Mtengo",57.6,16.6
"Kenya",2004,NA,"Diani-Chale","Tsipitali",NA,"Pre","Kenya_Diani-Chale_Tsipitali",65.5,11.5
"Kenya",2004,NA,"Malindi","North_Reef",NA,"Pre","Kenya_Malindi_North_Reef",68,16
"Kenya",2004,NA,"Malindi","Old_Coral_Garden",NA,"Pre","Kenya_Malindi_Old_Coral_Garden",48.7,27.9
"Kenya",2004,NA,"Mombasa","Coral_Garden",NA,"Pre","Kenya_Mombasa_Coral_Garden",40.2,20.6
"Kenya",2004,NA,"Mombasa","Starfish",NA,"Pre","Kenya_Mombasa_Starfish",34.1,9
"Kenya",2005,NA,"Diani-Chale","Chidzamba_cha_mekka",NA,"Pre","Kenya_Diani-Chale_Chidzamba_cha_mekka",56.5,8.3
"Kenya",2005,NA,"Diani-Chale","Mtengo",NA,"Pre","Kenya_Diani-Chale_Mtengo",71.2,17.3
"Kenya",2005,NA,"Diani-Chale","Tsipitali",NA,"Pre","Kenya_Diani-Chale_Tsipitali",63.1,20
"Kenya",2005,NA,"Kisite","Light_house",NA,"Pre","Kenya_Kisite_Light_house",61.2,20.1
"Kenya",2005,NA,"Kisite","Mkwiro",NA,"Pre","Kenya_Kisite_Mkwiro",52.5,24.3
