"Country","Site","Station","Reef.zone","pre_coral_cover","post_coral_cover","year_gap","pct.chg"
"Comoros",NA,"nkandzoni","Fore reef",61,35.82,2,-41.2786885245902
"Comoros",NA,"wani","Fore reef",61,64.84,2,6.29508196721312
"Comoros",NA,"Mea","Fore reef",59,62.9,2,6.61016949152542
"Comoros",NA,"Moroni","Fore reef",70,87.9,2,25.5714285714286
"Comoros",NA,"mitsamiuli","Back reef",43,57.84,2,34.5116279069767
"Kenya","Lamu","Pezali_Rock",NA,56.4,21,1,-62.7659574468085
"Kenya","Mombasa","Starfish",NA,25.6,13.37,3,-47.7734375
"Kenya","Shimoni","Wasini_Tengefu",NA,50.1,34.65,3,-30.8383233532934
"Kenya","Lamu","Majongooni",NA,21.5,16.99,3,-20.9767441860465
"Kenya","Watamu","Coral_Garden",NA,34.5,28.5,3,-17.3913043478261
"Kenya","Mombasa","Nyali",NA,28.6,25.37,3,-11.2937062937063
"Kenya","Kilifi","Kuruwitu",NA,28.2,28.32,3,0.425531914893621
"Kenya","Mombasa","Ras_Iwatine",NA,29.2,30.48,3,4.38356164383562
"Kenya","Mombasa","Coral_Garden",NA,32,34.36,3,7.375
"Kenya","Malindi","Old_Coral_Garden",NA,22.5,24.64,1,9.51111111111111
"Kenya","Malindi","New_Coral_Garden",NA,36.5,40.36,1,10.5753424657534
"Kenya","Watamu","Richard_Bernets",NA,23.5,28.79,1,22.5106382978723
"Kenya","Shimoni","Kibuyuni",NA,28.4,35,3,23.2394366197183
"Kenya","Lamu","Tausi",NA,49.14541403,63.67,3,29.5543058425222
"Kenya","Malindi","North_Reef",NA,16,23,2,43.75
"Kenya","Kisite","Mkwiro",NA,17.1,28.83,2,68.5964912280701
"Kenya","Shimoni","Mpunguti-Lower",NA,16.7,28.33,3,69.6407185628743
"Kenya","Lamu","Iweni",NA,29.7,52.66,1,77.3063973063973
"Kenya","Malindi","Kivulini",NA,5.42426057,9.68,2,78.4575035634765
"Kenya","Shimoni","Mpunguti-Upper",NA,30.5,61,5,100
"Kenya","Malindi","Mayunguni",NA,5.3,15.34,2,189.433962264151
"Madagascar","Nosy Be","Home_Reef","Fore reef",47.17,18.06,3,-61.7129531481874
"Madagascar","Nosy Be","Nosy_Vorona","Fore reef",32.93,14.28,3,-56.6352869723656
"Madagascar","Nosy Be","Turtle_towers","Fore reef",65.11,42.29,3,-35.048379665182
"Madagascar","Nosy Komba","Turtle_Towers","Crest",59.23,39.18,1,-33.8510889751815
"Madagascar","Nosy Komba","Galaxea","Crest",58.26,43.61,1,-25.1458976999657
"Madagascar","Nosy Komba","Dragon's_Den","Crest",65.47,50.64,1,-22.6515961509088
"Madagascar","Nosy Be","Three_Brothers","Fore reef",51.22,40.25,3,-21.4174150722374
"Madagascar","Andavadoaka","Lost",NA,30.000000001,26.25,1,-12.5000000029167
"Madagascar","Andavadoaka","Ns_Coco_Beach",NA,56.29,60.125,1,6.81293302540416
"Madagascar","Andavadoaka","Recruitment_North",NA,20.25,24.875,1,22.8395061728395
"Mauritius","Anse La Raie Lagoon","Degraded_Coral_1",NA,37.5,28.75,1,-23.3333333333333
"Mauritius","Anse La Raie Lagoon","Snorkeling_trail",NA,40.83,40,1,-2.03281900563311
"Mauritius","Anse La Raie Lagoon","Live_Branching_Coral",NA,36.25,40.62,1,12.0551724137931
