"Country","Period","benthic_category","mean_cover","se","pct.chg"
"Kenya","Pre","HC",24.4297266938095,2.87133622855467,NA
"Kenya","Post","HC",24.1233333333333,1.96117158052374,-1.25418251426378
"Kenya","Pre","FA",32.7687558920476,4.57450424669479,NA
"Kenya","Post","FA",35.5490476190476,4.75649044813715,8.48458127662616
"Madagascar","Pre","HC",48.7577777778889,5.76601869615571,NA
"Madagascar","Post","HC",37.9444444444444,4.68234727493449,-22.1776582655253
"Madagascar","Pre","FA",16.72,7.73940889215708,NA
"Madagascar","Post","FA",20.7822222222222,6.38708914264153,24.2955874534822
"Mauritius","Pre","HC",35.984,9.93392903135512,NA
"Mauritius","Post","HC",34.998,10.6259853190187,-2.74010671409517
"Mauritius","Pre","FA",13.778,7.14102401620384,NA
"Mauritius","Post","FA",7.104,5.75829974905788,-48.439541297721
"Seychelles","Pre","HC",33.6278125,2.82877508735383,NA
"Seychelles","Post","HC",16.9196875,2.24370402659232,-49.6854352331125
"Seychelles","Pre","FA",29.14,4.31923996450391,NA
"Seychelles","Post","FA",42.8128125,3.79504922708029,46.9211135895676
"Tanzania","Pre","HC",43.489375,4.67017892847355,NA
"Tanzania","Post","HC",39.425312500875,4.21012281319296,-9.34495494387997
"Tanzania","Pre","FA",11.635,4.01750212611435,NA
"Tanzania","Post","FA",15.1623958335625,3.8895338730132,30.3171107310915
