Country,Year,Sector,Site,Station,Reef.zone,Period,benthic_name,benthic_code,Organization,Source,mean_cover,sd
Comoros,2011,NA,NA,bimbini,Back reef,Pre,Coral,HC,,GCRMN,24,NA
Comoros,2007,NA,NA,bimbini,Back reef,Pre,Coral,HC,,GCRMN,24,NA
Comoros,2005,NA,NA,bimbini,Back reef,Pre,Coral,HC,,GCRMN,19,NA
Comoros,2004,NA,NA,bimbini,Back reef,Pre,Coral,HC,,GCRMN,18,NA
Comoros,2003,NA,NA,bimbini,Back reef,Pre,Coral,HC,,GCRMN,25,NA
Comoros,2011,NA,NA,Itsandra,Back reef,Pre,Coral,HC,,GCRMN,33,NA
Comoros,2009,NA,NA,Itsandra,Back reef,Pre,Coral,HC,,GCRMN,54,NA
Comoros,2007,NA,NA,Itsandra,Back reef,Pre,Coral,HC,,GCRMN,48,NA
Comoros,2005,NA,NA,Itsandra,Back reef,Pre,Coral,HC,,GCRMN,49,NA
Comoros,2003,NA,NA,Itsandra,Back reef,Pre,Coral,HC,,GCRMN,46,NA
Comoros,1999,NA,NA,Itsandra,Back reef,Pre,Coral,HC,,GCRMN,22,NA
Comoros,2015,NA,NA,Mea,Fore reef,Pre,Coral,HC,,GCRMN,59,NA
Comoros,2005,NA,NA,Mea,Fore reef,Pre,Coral,HC,,GCRMN,51,NA
Comoros,2004,NA,NA,Mea,Fore reef,Pre,Coral,HC,,GCRMN,56,NA
Comoros,2003,NA,NA,Mea,Fore reef,Pre,Coral,HC,,GCRMN,54,NA
Comoros,2002,NA,NA,Mea,Fore reef,Pre,Coral,HC,,GCRMN,33,NA
Comoros,2015,NA,NA,Moroni,Fore reef,Pre,Coral,HC,,GCRMN,70,NA
Comoros,2007,NA,NA,Moroni,Fore reef,Pre,Coral,HC,,GCRMN,71,NA
Comoros,2005,NA,NA,Moroni,Fore reef,Pre,Coral,HC,,GCRMN,67,NA
Comoros,2004,NA,NA,Moroni,Fore reef,Pre,Coral,HC,,GCRMN,54,NA
Comoros,2003,NA,NA,Moroni,Fore reef,Pre,Coral,HC,,GCRMN,64,NA
Comoros,2009,NA,NA,Sambia,Fore reef,Pre,Coral,HC,,GCRMN,32,NA
Comoros,2003,NA,NA,Sambia,Fore reef,Pre,Coral,HC,,GCRMN,43,NA
Comoros,2002,NA,NA,Sambia,Fore reef,Pre,Coral,HC,,GCRMN,42,NA
Comoros,2015,NA,NA,wani,Fore reef,Pre,Coral,HC,,GCRMN,61,NA
Comoros,2007,NA,NA,wani,Fore reef,Pre,Coral,HC,,GCRMN,78,NA
Comoros,2003,NA,NA,wani,Fore reef,Pre,Coral,HC,,GCRMN,62,NA
Tanzania,1999,NA,Mafia,Msumbiji,NA,Pre,Dead Standing coral,DC,,GCRMN,10,NA
Tanzania,1999,NA,Mafia,Msumbiji,NA,Pre,Coral,HC,,GCRMN,32,NA
Tanzania,1999,NA,Mafia,Msumbiji,NA,Pre,Soft coral,SC,,GCRMN,6,NA
Tanzania,1999,NA,Mafia,Msumbiji,NA,Pre,Spongy,SPG,,GCRMN,5,NA
Tanzania,2015,NA,Mafia,Kitutia,NA,Pre,Algae-coralline,ACOR,,GCRMN,20,NA
Tanzania,2015,NA,Mafia,Kitutia,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,7,NA
Tanzania,2015,NA,Mafia,Kitutia,NA,Pre,Coral,HC,,GCRMN,45,NA
Tanzania,2011,NA,Mafia,Kitutia,NA,Pre,Coral,HC,,GCRMN,52,NA
Tanzania,2009,NA,Mafia,Kitutia,NA,Pre,Coral,HC,,GCRMN,30,NA
Tanzania,2005,NA,Mafia,Kitutia,NA,Pre,Algae-coralline,ACOR,,GCRMN,6,NA
Tanzania,2005,NA,Mafia,Kitutia,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,21,NA
Tanzania,2005,NA,Mafia,Kitutia,NA,Pre,Bare substrate,BS,,GCRMN,0,NA
Tanzania,2005,NA,Mafia,Kitutia,NA,Pre,Coral,HC,,GCRMN,23,NA
Tanzania,2005,NA,Mafia,Kitutia,NA,Pre,Soft coral,SC,,GCRMN,0,NA
Tanzania,2005,NA,Mafia,Kitutia,NA,Pre,Spongy,SPG,,GCRMN,0,NA
Tanzania,2003,NA,Mafia,Kitutia,NA,Pre,Algae-coralline,ACOR,,GCRMN,13,NA
Tanzania,2003,NA,Mafia,Kitutia,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,44,NA
Tanzania,2003,NA,Mafia,Kitutia,NA,Pre,Bare substrate,BS,,GCRMN,14,NA
Tanzania,2003,NA,Mafia,Kitutia,NA,Pre,Dead Standing coral,DC,,GCRMN,0,NA
Tanzania,2003,NA,Mafia,Kitutia,NA,Pre,Coral,HC,,GCRMN,17,NA
Tanzania,2003,NA,Mafia,Kitutia,NA,Pre,Soft coral,SC,,GCRMN,10,NA
Tanzania,2003,NA,Mafia,Kitutia,NA,Pre,Spongy,SPG,,GCRMN,0,NA
Tanzania,2001,NA,Mafia,Kitutia,NA,Pre,Algae-coralline,ACOR,,GCRMN,18,NA
Tanzania,2001,NA,Mafia,Kitutia,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,24,NA
Tanzania,2001,NA,Mafia,Kitutia,NA,Pre,Bare substrate,BS,,GCRMN,29,NA
Tanzania,2001,NA,Mafia,Kitutia,NA,Pre,Dead Standing coral,DC,,GCRMN,6,NA
Tanzania,2001,NA,Mafia,Kitutia,NA,Pre,Coral,HC,,GCRMN,19,NA
Tanzania,2001,NA,Mafia,Kitutia,NA,Pre,Soft coral,SC,,GCRMN,0,NA
Tanzania,2001,NA,Mafia,Kitutia,NA,Pre,Spongy,SPG,,GCRMN,1,NA
Tanzania,1999,NA,Mafia,Kitutia,NA,Pre,Algae-coralline,ACOR,,GCRMN,3,NA
Tanzania,1999,NA,Mafia,Kitutia,NA,Pre,Algae-macro/fleshy,AMAC,,GCRMN,15,NA
Tanzania,1999,NA,Mafia,Kitutia,NA,Pre,Bare substrate,BS,,GCRMN,38,NA
Tanzania,1999,NA,Mafia,Kitutia,NA,Pre,Dead Standing coral,DC,,GCRMN,22,NA
Tanzania,1999,NA,Mafia,Kitutia,NA,Pre,Coral,HC,,GCRMN,15,NA
Tanzania,1999,NA,Mafia,Kitutia,NA,Pre,Soft coral,SC,,GCRMN,4,NA
Tanzania,1999,NA,Mafia,Kitutia,NA,Pre,Spongy,SPG,,GCRMN,0,NA
